,평점,일시,감상평
546,10,2019.08.14 16:44,왜 혹평인지 이해불가영화
547,10,2019.05.31 21:28,10점 받아도 마땅한 영화
548,10,2019.05.15 22:07,1998년에 만들어진걸 감안했을때 정말 잘 만들어진 영화라는 생각. 그래픽 화질이나 영상 기술문제일뿐 현재 다시 재 상영되도 흥행할 영화
549,10,2019.05.11 09:09,최고의 고질라 영화다.
550,3,2016.10.14 12:14,원작 파괴의 진정한 상징.
551,10,2015.07.16 01:18,학교에서 이거보다가 중간부분부터본 친구가 핵노잼이라한다....어딜봐서 핵노잼이지? 진짜 내가본 괴물 괴수영화중 TOP3안에 드는데...
552,9,2014.11.23 23:59,"16년전 영화를 뒤늦게 보고 까대나?  고질라 하면 이 영화 만한게 없지~  오락적 재미, 스케일, 액션 모두 최고였다"
553,8,2014.07.30 13:22,2014  보다 이게 더 현실감 있어보인다
554,5,2013.07.10 02:54,긴장감도 부족하고 산만하며 유치함. 중반까지는 졸리는데 뒷심은 좀 있는 편?
555,5,2012.11.07 20:06,유치하고 어설픈데 이 미친중독성ㅋㅋ아무생각없이 보면됨ㅋㅋ
556,5,2016.04.18 18:43,Cg만 좋다고 똥꼬빨아주는 영화알못들 존내 극혐이네 ㅋ 스토리랑 줄거리는 좋았으나 고질라를 다이어트 시켜버린 것 때문에 괴작이라는 평론이 있음
557,6,2016.01.31 14:53,영화 자체는 재밌다그러나 지나친 원작 파괴와 부실한 스토리와 배우들의 뭔가 부족한 연기가 이 영화를 망쳤다
558,4,2014.09.11 18:20,원작에 애정 없는 감독(그것도 에머리히)에게 리메이크를 맡기면.
559,1,2010.02.25 01:23,하하 이거 1년뒤에 매트릭스가 나왔다죠 하하
560,1,2011.08.11 05:11,원작과 비교하면 존재가치가없는 OOO 영화 이게 더재밌다는놈들은 무뇌아다
561,2,2014.05.16 03:03,2014년 버젼을 보니 이영화가 얼마나 쓰레기 인지 세삼스럽게 다시 느껴진다.
562,1,2020.02.07 19:05,로튼토마트 16% imdb 5.4짜리 쓰레기영화를 빨고앉았네 ㅉㅉ
563,10,2015.12.07 01:51,나 지금 평점 7점대라는거에 답답해서 올린다
564,10,2015.08.28 05:21,2015년에 봐도 정말 잘 만든영화임
565,10,2015.03.09 17:10,아니 이거 평점이 왜이래?
566,10,2014.08.26 02:02,이 고질라가 졸잼이란걸 요번에 나온 고질라때매 이제알았다
567,9,2014.07.23 19:32,욕하는 분들 걍 꺼지셈. 솔직히 일본판이  낫긴 하지만 이것도 꼬ㅒ 재밌씀
568,9,2014.05.23 20:56,2014년꺼보다훠~~~얼씬나음
569,5,2014.05.11 12:24,원작을 사실적으로 만들려는 것은 알겠는데원작에 너무 벗어났다(그래도 영화는 좋았다)
570,10,2014.01.13 23:51,난 이영화를 욕하는 사람들 머릿속이 궁금하다. 그런 인간들이 영화를 만들면 이정도 수준은 나올까?
571,3,2012.04.25 17:33,감독이 헤매다 만들었나?
572,3,2014.06.01 02:13,50m짜리 이구아나가 깽판 치다 미군의 위대함에 GG친다(아... 미국의 택시의 위대함도 느껴야지 헬기도 못쫏는 녀석을 따돌리니..ㅋ)
573,5,2014.05.30 09:21,"어릴 때 봤을 때는 재밌었는데,,  어른이 되고나서 보니깐 확실히 아동용영화스럽다,,"
574,9,2014.05.18 14:24,나에겐 이 고질라의 이미지가 너무 강해서 2014년 개봉한 고질라가 너무 재미없었다 ㅌㅋㅋㅋ
575,10,2014.05.18 13:23,어릴적 수십번은본 명작
576,10,2014.05.17 22:50,98년도에 이정도면 10점만점에10점
577,1,2007.05.07 19:57,말 그대로 큰괴물하나 도시복판에 갖다놨음.근데 죽을때 웬 측은지심유발?
578,1,2007.03.21 21:05,별로
579,2,2016.03.14 07:18,넌 고질라가 아니야...
580,10,2014.05.16 18:35,영화 후기 처음남기는데요원작에 벚어났다 원작을 무시했다 등별 머저리 같은 평이 많네요15년전 영화라 믿기지 않는 수작입니다 ㄱㄱ
581,1,2012.03.25 16:35,이거 인디펜던스데이만든놈들이만들고  NC가리뷰도햇었음.  그만큼 쓰레기영화.
582,1,2011.08.24 00:10,쓰레기 평점을 줄수밖에 없는 처치곤란한 블록 버스터
583,1,2009.02.02 19:08,기본적인 상식조차 갖추지 못한 영화... 말 그대로 똥덩어리다
584,1,2007.07.17 21:52,용가리나 고질라나..
585,1,2007.07.16 06:56,날지 못하는 돼지는 돼지가 아니듯이 방사능 화염이 없는 고질라는 닭이다
586,1,2007.07.09 22:39,좀 황당 ?
587,1,2012.09.10 03:20,"왜 출연한건지 모르겠는 배우, 왜 했는지 모르겠는 특수효과, 왜 썼는지 모르겠는 시나리오가 만난 왜 만들었는지 모르겠는 영화."
588,10,2014.08.23 15:18,고질라영화중 최고의명작 20년가까이지난 지금봐도 그래픽의차이를 못느끼겠음. 2014고질라같은 촤고의 졸작이랑은 완전히 다른.
589,3,2014.08.08 13:09,괴수영화는 단순무식해야 하거늘
590,1,2014.06.23 23:24,여자주인공이 질질대서 이 영화는 1점이다. 너무 길고 지루하고 여자때매 짜증난다.
591,10,2014.05.26 19:12,1998년 고질라는 진짜 괴수영화중 가장 기억에 남을만한 20세기 걸작이다... cg도 98년도에 비교하였을때 매우 뛰어났으며 인상 깊은 장면들이 많았기  때문이라 볼수있다.  근데 1점씩 주는 새(아기)는 누군지 ...
592,10,2014.05.26 17:31,진짜재밌는데왜다들욕하지???영화다보고98년에만들었다는거알고놀랐음...진짜지금만들었다고해도손색이없고스토리도재밌는데...긴장감넘치게잘봤음
593,1,2019.03.09 13:27,오드리 진짜 찡찡거리네요 ;
594,5,2017.02.05 08:01,기대이하네요 솔직히 재미없습니다
595,4,2015.07.16 20:56,일본의 문화를 먹칠한 영화라서 4점 줌
596,1,2018.12.10 10:49,원작파괴한 영화라 비추합니다. 고질라라는 이름만 없었음 그저그런 괴수영화였을텐데..
597,3,2018.08.07 22:16,재미없다. 보지 마...
598,4,2014.05.15 13:23,어릴때 봤던 영화중에서 베스트 10 안에 들던 영화였어요.몇일전 TV에서 틀어주길래 기대하면서 봤는대  유치해서 못보겠더라고요 ㅋㅋ초등학생들 틀어주면 좋아할듯. 제 점수는요. 4점 드리겠습니다.
599,2,2015.01.09 02:42,오락성은 2014판보다 나을수 있으나 헐리우드가 고질라라는 네임을 빌려 3류 블록버스터물로 명성을 먹칠한것에 대해 분노를 금치못한다 내가 아는 고질라는 단순 괴수액션 블록버스터에 나오는 수준낮은 크리처물이 아니다
