,평점,일시,감상평
75,6,2010.08.30 10:53,솔직히 용가리보다는 훨씬 자연스럽잖아...멍청한 오드리...
76,9,2010.03.05 23:39,2편 안나오냐고 ㅠㅠ
77,4,2019.08.07 23:51,"왜 그랬어, 에머리히!"
78,5,2019.06.28 23:57,원작을 전혀 생각하지 않는다면 한 7점 이상은 줄 수 있는데...원작파괴가 너무 심해서...
79,5,2019.05.12 16:50,이름만 고질라지 그냥 거대공룡영화 포스넘치게 등장해서 고작 헬기 몇대 따라오니깐 도망치고 결국 미사일 몇대 맞고 사망
80,8,2018.11.29 01:03,일빠 고지라 팬들이 원작타령 하길래 욕을 먹었지만 오락성 하나는 2014년 고질라에 비하면 아주 뛰어나다
81,8,2018.02.04 12:58,두고두고 영화화 될 멋진 캐릭터 고질라
82,9,2017.03.03 23:29,제가 어렸을때 재미있게보던영화~  일본의 피규어나오는 씬~ 고질라보단 훨났다~~
83,10,2016.07.23 20:12,정말 1998 고질라야 말로 정말 재밌는 갓질라인데 2014 고질라는 정말 OOO기 영화 그래픽이나 뭐나 1998보다 훨씬 더 발전했을텐데 결국 스토리나 연출력 차이인듯 등장인물도 중요하고
84,9,2016.03.11 03:59,오히려 2014고질라가 1988고질라를 망쳤다
85,5,2014.05.17 22:24,본격 참치먹방 하는 짭질라
86,5,2020.03.04 14:06,자신들의 흑막을 덮기 위해 고질라를 제거하려는 프랑스 정부넘들! 유럽의 차이나.
87,6,2020.01.22 21:39,방사열선만 있었다면...그리고 이녀석이 질라인 진짜이유는 고질라미국판권도끝나고 질라 판권도 토호가 압수해서 질라로 바꿧더군요 고질라가 아닌 질라
88,10,2019.07.26 23:27,개인적으로  제일 재밌는 할리우드 고질라 영화
89,10,2019.07.20 20:08,ㅈ잼ㅈㅈㅈㅈ잼ㄲㅇ잼
90,10,2019.07.06 22:39,98년 초6 시절에 이 고질라 영화는 보고  용가리는 안 봤습니다. 고질라 원작 자체를 몰라서  원작파괴란 평 많은데 갠적으로 엄청 재밌게 봄. 오늘 고질라 킹오브몬스터보고  용가리까지ㅠ보았다. 용가리 ㅠㅠ
91,10,2019.06.15 01:00,쥬라기 공원 볼 때도 느꼈지만 고질라 볼 때도 또 느끼네.. 어쩜 이OO 전 영화인데도 그래픽이 촌스럽지 않고 저렇게 자연스러울까.. 헐리우드는 진짜 대단 ㅋㅋ
92,5,2019.05.26 12:49,"방사능 오염으로 태어난  거대 괴수의 난동을 그린 괴수 영화. 특별하진 않아도 해당 장르가 갖춰야 할 것들을 챙길만큼은 챙긴, 나름 볼 만한 킬링 타임 무비다. 다만, 고질라와 전혀 닮지 않은 괴수 영화에 왜 고질라..."
93,6,2019.04.08 00:01,"괴수 블록버스터의 교과서, 같은 느낌이네요. 후반에는 쥬라기공원인줄..."
94,8,2019.04.04 06:20,몇 년 전에 중간까지 보고 말았는데 후회된다. 다 봤어야 했는데
95,7,2019.03.18 20:52,원작이 뭔지 몰랐던 것도 있겠지만 영화 자체로 놓고 봐도 괜찮은 오락영화
96,6,2019.03.13 23:48,거대 괴수가 뉴욕 한복판에서 신출귀몰한다는 건 납득할 수 있지만 인물들의 돌발행동과 상식선을 벗어난 군부대의 움직임은 납득불가.
